,asin,title,description,category,topic_name,topic_rank,bubble_color,bubble_size,clean_link
3,0793816793,Lionfishes and Other Scorpionfishes: The Complete Guide to the Successful Care and Breeding of ...,",The venomous but beautiful scorpionfishes are extremely popular <br> among home aquarists, with many spe...",fish,fish_1,15,0.7908166666666667,6.0,155
7,0978619404,Giant Clams in the Sea and the Aquarium,...James Fatherree has brought together the most up-to-date <br> literature and anecdotal information on ...,rabbits and rodents,rabbits and rodents_3,32,0.77940625,16.0,39
8,0979699967,Simply Charming Circles,This book contains 8 patterns--all made with some sort of <br> circular design! Don't be scared though. T...,farm animals,farm animals_5,10,0.79445,2.0,23
9,0982083513,Piece of Pie A La Mode,Softcover book of 46 pages with 10 more layer cake friendly <br> quilt patterns. Dessert recipes included...,other,other_5,19,0.6221333333333333,3.0,22
12,0983794812,"Pathway Cat Journal, Capture Your Memories, Pet Health and More","Kitty capers, playful antics and quality cuddle time. Capture <br> those special moments in your Pathway ...",cat,cat_2,34,0.8425333333333334,3.0,63
16,1300451092,Cat Vitamins Kitten Booster Pet Herbal Supplement,"VetVittles tm Kitten Booster (improved formula of the previous <br> Kitten Health) Boosts strength, immun...",cat,cat_1,26,0.9133666666666668,3.0,49
17,1300451300,Nice Coat Chicken Flavor Dog Herbal Supplement By Vetvittles.com,"VetVittles tm Nice Coat Stimulates hair growth, prevents <br> shedding, reduces itching. Chicken Flavor M...",dog,dog_2,54,0.6119,7.0,64
20,1300451459,Liver Support Chicken Flavor Herbal Supplement for Dogs From Vetvittles.com,"VetVittles tm Liver Support Supports liver function, stimulates <br> des-intoxication and restores liver ...",dog,dog_6,70,0.6890285714285714,7.0,75
23,1300451041,Cat Vitamins Kitten Booster Herbal Supplement,"VetVittles tm Kitten Booster (improved formula of the previous <br> Kitten Health) Boosts strength, immun...",cat,cat_5,2,0.8529333333333332,9.0,45
31,131218986X,Cat Vitamins Kitten Booster Pet Herbal Supplement,"VetVittles tm Kitten Booster (improved formula of the previous <br> Kitten Health) Boosts strength, immun...",cat,cat_4,53,0.3434222222222222,9.0,49
41,1365543986,VetVittles Power-mune Plus - Natural Immunity Booster Supplement with Organic Herbs for Dogs and ...,nan,cat,cat_6,38,0.7942,3.0,185
48,1450873006,Disney Junior Deluxe Read-and-Play Gift Set - 12 Book Set Featuring Jake and the Never Land Pirates ...,This listing features a Disney Junior Deluxe Read-and-Play Gift <br> Set Book Set Jake &amp; Never Land P...,other,other_6,5,0.6984499999999999,6.0,160
52,1525600710,2018 Maud Lewis Mini Wall Calendar,"new bark collar,,",other,other_6,27,0.8351666666666667,3.0,34
60,1612232426,2018 Red Pandas Calendar,"Control your dogs barking in a humane, gentle way with this <br> all-new 2018 trend No Shock Small and La...",other,other_5,1,0.7841499999999999,8.0,24
61,1612231977,DR.REXY Hemp Oil for Dogs and Cats - 100% Organic Food Supplement - Full Spectrum Hemp Extract - ...,"Dr. Rexy hemp oil has powerful anti-inflammatory properties, <br> which have shown to help relieve joint ...",rabbits and rodents,rabbits and rodents_4,51,0.6736122669283614,1019.0,209
63,1635440319,Cavallini Papers &amp; Co. 2018 National Parks Desk Calendar,2018 national parks desk calendar. Celebrate America's natural <br> beauty with these vintage images of U...,rabbits and rodents,rabbits and rodents_4,3,0.7168714285714285,7.0,60
70,1903492022,"System II Pre-Filter Sleeve 12/pk - 16 - 20""","Pre-Filter Sleeve for the SeaClear System II aquarium. Will fit <br> the 16"" or the 20"" models.,,",rabbits and rodents,rabbits and rodents_2,10,0.1225714285714285,7.0,44
80,1979564426,Delvers LLC: Adventure Capital (Volume 3),nan,rabbits and rodents,rabbits and rodents_4,71,0.6185527607361962,163.0,41
83,2272800022,biOrb Ceramic Media,Extra ceramic media can be added to your Reef One aquarium. This <br> will increase the area available fo...,fish,fish_6,57,0.43445,2.0,19
103,6022600073,"DYEOF Flea Tick Collar for Cats - 8 Months Protection - Hypoallergenic, Adjustable &amp; Waterproof ...",Fleas and ticks can cause a wide variety of issues for your cats <br> and the most common of which is fle...,bird,bird_3,7,0.693225,4.0,165
