,asin,title,description,category,topic_name,bubble_color,bubble_size,clean_link,topic_rank
0,B0002563NQ,Tetratest pH Freshwater Test Kit,"TetraTest pH Freshwater Test KitIts important to <br>monitor the pH value of your freshwater aquarium. <br>Thats because a pH value of 6.5 to 8.0 will suit <br>most species of freshwater aquarium fish, but a <br>sudden or significant pH change can occur when tap <br>water is added. Thats why you should always check <br>...",fish,fish_6,0.218725,4,,0
31,B0002ATDJC,"Pennplax Cabomba Plant Aquarium Decor, Black and <br>White, Large","Pennplax pond plus large plastic cabomba plant. <br>Looks incredibly life like, adds the perfect touch <br>to your underwater habitat.",other,other_6,0.8555,1,,0
13,B0002ARAGU,Chicken Rawhide Twist Sticks 5&quot;X 4 mm - 75PK,"Chicken Rawhide Twist Sticks 5""X 4 mm - 75PK",farm animals,farm animals_2,0.0,1,,0
39,B0002I9OBG,Rub-On Hip &amp; Joint Glucosamine Foam,,other,other_1,-0.296,1,1.0,0
181,B000E7ZJWS,Organic Dog &amp; Cat Wheatgrass Growing Kit for <br>Pet - Dogs Cats &amp; Pets Love To Eat Wheat Grass <br>for Better Health,"This pet / ornamental wheat grass kit is perfect <br>for decorative growing or providing vital <br>nutrients to your pets, and may also prevent them <br>from eating your houseplants. Dogs &amp; cats love <br>wheatgrass! Your pets will thank you! Certified <br>Organic.     For Use as a Decorative Ornamental <br>Kit: ...",cat,cat_5,0.588004761904762,21,1.0,0
341,B0002DJUQA,JW Pet Company Insight Sliding Pegs Small Bird Toy <br>Assorted Colors,Parakeets along with other small parrots requires <br>stimulation and exercise for their well-being. In <br>its natural habitat the birds keen mind <br>extraordinary sensitivity to the environment and <br>physical prowess are all utilized in daily <br>activities. This toy is designed to stimulate the <br>birds mind as ...,bird,bird_6,-0.1027,1,,0
0,B00002N7PJ,Diamond 14D 14-Inch Hoof Nipper with Plastic Grips,"Forged from high-quality steel with heat-treated <br>jaws and handles. Sharp cutting edges are <br>hardened, honed and flush ground. Chrome plated <br>with polished head and plastic coated <br>handles.,Diamond Hoof Nipper forged from high <br>quality steel with heat treated jaws and handles. <br>Sharp cutting edges are ...",farm animals,farm animals_3,0.4541929411764705,85,1.0,0
4460,B00CJ2BHFY,Brand New LEE'S AQUARIUM &amp; PET PRODUCT - BETTA <br>HEX (W/LID/GRAVEL/PLANT) &quot;AQUATIC PRODUCTS - <br>AQUATICS - FISH BOWLS&quot;,,fish,fish_0,-0.8242,1,1.0,0
64,B000634DVI,PETCO 3/8&quot; Rolled Leather Collar in Black,Basic black pet collar. Comfy and safe. EASY <br>RELEASE.,other,other_4,0.6901,1,,0
98,B0002AS8O8,Interpet Limited Superpet Hamster Potty (Assorted <br>Colors),"Can be placed anywhere inside their home. Comes <br>complete with a free sample of potty litter and a <br>sifting scoop to help with cleaning the litter. <br>Ideal for Hamsters, Mice and Gerbils. Please note: <br>You will receive a random color from an <br>assortment. The color you receive may not be the <br>same as shown ...",rabbits and rodents,rabbits and rodents_5,0.2585735576923074,208,1.0,0
67,B0002ASD9S,"Marina Ecoscaper Anubias Nana Silk Plant, 4-Inch","Let the marina anubias nana silk plant add some <br>lush, colorful landscape to your aquarium. Design <br>your very own aquatic paradise with authentic, <br>realistic-looking silk plants, all molded after <br>the real thing. The marina Anubias Nana is <br>completely safe for all aquarium occupants, and <br>are a great way ...",fish,fish_4,0.36655,2,,0
0,B000084EB8,"Mars Pet Care Pedigree Traditional Ground Dinner <br>with Chunky Chicken, 1 Count, One Size","PEDIGREE ground dinner, 13.2 oz., chunky chicken <br>dog food, can this product adds a great value. <br>Product is highly durable and very easy to use. <br>This product is manufactured in China.,Pedigree <br>Meaty Ground Dinner with Chunky <br>Chicken,,,Sufficient water for processing, chicken <br>by-products, chicken, ...",farm animals,farm animals_0,0.0657499999999999,2,1.0,0
790,B0007ZLQ2Y,Marchioro (Tommy K) Guinea Pig &amp; Rabbit Cage - <br>Large (large - 40x21x20.5),,rabbits and rodents,rabbits and rodents_3,0.77525,4,0.0,0
75,B00025Z6MK,Wardley Shrimp Pellets,Wardley Premium Shrimp Pellets Formula is <br>formulated from a nutritious blend of ingredients <br>including shrimp.,fish,fish_5,0.4622601108033234,361,,0
